MAZ,num_hh,gq_pop,gq_military,gq_university,gq_other,numhh_gq
10001.0,62,0,0,0,0,62
10002.0,72,0,0,0,0,72
10003.0,78,0,0,0,0,78
10004.0,81,0,0,0,0,81
10005.0,70,0,0,0,0,70
10006.0,108,0,0,0,0,108
10007.0,197,0,0,0,0,197
10009.0,45,0,0,0,0,45
10012.0,341,0,0,0,0,341
10017.0,0,0,0,0,0,0
10018.0,0,0,0,0,0,0
10021.0,10,40,0,0,40,50
10022.0,36,19,0,0,19,55
10023.0,16,0,0,0,0,16
10024.0,61,0,0,0,0,61
10025.0,33,0,0,0,0,33
10030.0,216,0,0,0,0,216
10038.0,702,128,0,0,128,830
10039.0,97,0,0,0,0,97
10044.0,57,0,0,0,0,57
10045.0,62,0,0,0,0,62
10047.0,63,0,0,0,0,63
10048.0,82,0,0,0,0,82
10049.0,71,0,0,0,0,71
10052.0,25,0,0,0,0,25
10053.0,30,11,0,0,11,41
10054.0,62,0,0,0,0,62
10055.0,58,5,0,0,5,63
10056.0,469,0,0,0,0,469
10060.0,0,0,0,0,0,0
10062.0,54,0,0,0,0,54
10063.0,34,0,0,0,0,34
10064.0,0,0,0,0,0,0
10065.0,8,0,0,0,0,8
10071.0,38,0,0,0,0,38
10072.0,35,0,0,0,0,35
10073.0,79,0,0,0,0,79
10074.0,147,0,0,0,0,147
10075.0,118,103,0,0,103,221
10076.0,11,0,0,0,0,11
10077.0,102,0,0,0,0,102
10078.0,1,0,0,0,0,1
10079.0,284,0,0,0,0,284
10084.0,48,14,0,0,14,62
10086.0,0,0,0,0,0,0
10087.0,0,7,0,0,7,7
10094.0,100,0,0,0,0,100
10098.0,97,0,0,0,0,97
10099.0,74,0,0,0,0,74
10101.0,71,0,0,0,0,71
10102.0,102,0,0,0,0,102
10104.0,44,0,0,0,0,44
10107.0,97,1,0,0,1,98
10109.0,101,9,0,0,9,110
10110.0,342,0,0,0,0,342
10111.0,164,0,0,0,0,164
10112.0,133,0,0,0,0,133
10114.0,84,0,0,0,0,84
10116.0,114,0,0,0,0,114
10117.0,423,0,0,0,0,423
10119.0,93,0,0,0,0,93
10122.0,117,0,0,0,0,117
10123.0,0,8,0,0,8,8
10124.0,26,0,0,0,0,26
10125.0,57,11,0,0,11,68
10127.0,200,0,0,0,0,200
10128.0,338,0,0,0,0,338
10130.0,0,0,0,0,0,0
10133.0,73,0,0,0,0,73
10137.0,247,22,0,0,22,269
10138.0,443,13,0,0,13,456
10140.0,181,0,0,0,0,181
10141.0,121,13,0,0,13,134
10142.0,169,0,0,0,0,169
10143.0,186,0,0,0,0,186
10144.0,4,21,0,0,21,25
10147.0,549,0,0,0,0,549
10150.0,73,0,0,0,0,73
10151.0,0,0,0,0,0,0
10153.0,0,0,0,0,0,0
10157.0,154,0,0,0,0,154
10159.0,3,1,0,0,1,4
10160.0,172,0,0,0,0,172
10161.0,155,0,0,0,0,155
10162.0,184,0,0,0,0,184
10163.0,107,0,0,0,0,107
10164.0,73,0,0,0,0,73
10165.0,144,0,0,0,0,144
10167.0,179,0,0,0,0,179
10168.0,96,0,0,0,0,96
10169.0,67,0,0,0,0,67
10170.0,0,5,0,0,5,5
10172.0,211,0,0,0,0,211
10173.0,112,0,0,0,0,112
10179.0,188,0,0,0,0,188
10180.0,62,0,0,0,0,62
10181.0,64,0,0,0,0,64
10184.0,36,0,0,0,0,36
10185.0,2,68,68,0,0,70
10186.0,0,0,0,0,0,0
10187.0,133,0,0,0,0,133
10190.0,73,0,0,0,0,73
10192.0,43,0,0,0,0,43
10193.0,57,0,0,0,0,57
10194.0,39,0,0,0,0,39
10195.0,51,11,0,0,11,62
10197.0,57,0,0,0,0,57
10198.0,89,0,0,0,0,89
10200.0,132,0,0,0,0,132
10201.0,44,0,0,0,0,44
10202.0,97,0,0,0,0,97
10203.0,20,0,0,0,0,20
10204.0,46,0,0,0,0,46
10206.0,56,0,0,0,0,56
10207.0,61,0,0,0,0,61
10208.0,54,0,0,0,0,54
10209.0,64,0,0,0,0,64
10210.0,187,0,0,0,0,187
10211.0,100,0,0,0,0,100
10212.0,109,0,0,0,0,109
10213.0,74,0,0,0,0,74
10214.0,106,0,0,0,0,106
10215.0,216,0,0,0,0,216
10218.0,73,0,0,0,0,73
10219.0,721,111,0,0,111,832
10222.0,0,14,0,0,14,14
10223.0,89,0,0,0,0,89
10224.0,57,0,0,0,0,57
10225.0,72,7,0,0,7,79
10226.0,51,0,0,0,0,51
10227.0,51,0,0,0,0,51
10228.0,61,0,0,0,0,61
10229.0,53,0,0,0,0,53
10230.0,75,0,0,0,0,75
10231.0,66,0,0,0,0,66
10232.0,33,0,0,0,0,33
10233.0,13,0,0,0,0,13
10234.0,73,0,0,0,0,73
10235.0,35,0,0,0,0,35
10236.0,45,0,0,0,0,45
10241.0,39,0,0,0,0,39
10242.0,47,0,0,0,0,47
10247.0,61,0,0,0,0,61
10248.0,78,0,0,0,0,78
10249.0,38,0,0,0,0,38
10250.0,108,0,0,0,0,108
10251.0,90,0,0,0,0,90
10252.0,69,0,0,0,0,69
10253.0,52,17,0,0,17,69
10254.0,177,0,0,0,0,177
10255.0,115,0,0,0,0,115
10256.0,130,0,0,0,0,130
10257.0,67,4,0,0,4,71
10258.0,69,0,0,0,0,69
10259.0,0,7,0,0,7,7
10260.0,3,0,0,0,0,3
10261.0,0,51,0,0,51,51
10262.0,311,0,0,0,0,311
10263.0,0,0,0,0,0,0
10265.0,593,60,0,0,60,653
10266.0,138,0,0,0,0,138
10268.0,157,46,0,0,46,203
10269.0,101,15,0,0,15,116
10270.0,119,0,0,0,0,119
10271.0,100,8,0,0,8,108
10272.0,134,0,0,0,0,134
10273.0,174,8,0,0,8,182
10274.0,141,0,0,0,0,141
10275.0,16,0,0,0,0,16
10276.0,0,0,0,0,0,0
10277.0,17,92,0,0,92,109
10278.0,106,10,0,0,10,116
10279.0,261,0,0,0,0,261
10280.0,38,9,0,0,9,47
10281.0,88,0,0,0,0,88
10282.0,0,37,0,0,37,37
10283.0,27,0,0,0,0,27
10284.0,80,0,0,0,0,80
10287.0,47,0,0,0,0,47
10288.0,61,0,0,0,0,61
10289.0,71,0,0,0,0,71
10290.0,70,16,0,0,16,86
10292.0,102,0,0,0,0,102
10295.0,43,0,0,0,0,43
10300.0,127,0,0,0,0,127
10302.0,111,0,0,0,0,111
10308.0,340,0,0,0,0,340
10309.0,133,0,0,0,0,133
10310.0,51,0,0,0,0,51
10312.0,109,0,0,0,0,109
10313.0,87,0,0,0,0,87
10315.0,29,0,0,0,0,29
10316.0,89,0,0,0,0,89
10317.0,94,0,0,0,0,94
10321.0,94,0,0,0,0,94
10322.0,57,0,0,0,0,57
10323.0,62,0,0,0,0,62
10324.0,64,0,0,0,0,64
10325.0,53,0,0,0,0,53
10326.0,66,0,0,0,0,66
10327.0,81,0,0,0,0,81
10328.0,63,0,0,0,0,63
10329.0,65,0,0,0,0,65
10330.0,65,0,0,0,0,65
10331.0,75,0,0,0,0,75
10333.0,87,0,0,0,0,87
10334.0,148,0,0,0,0,148
10335.0,145,0,0,0,0,145
10336.0,64,0,0,0,0,64
10337.0,58,0,0,0,0,58
10338.0,75,0,0,0,0,75
10340.0,74,0,0,0,0,74
10341.0,63,0,0,0,0,63
10344.0,92,0,0,0,0,92
10347.0,19,0,0,0,0,19
10349.0,49,0,0,0,0,49
10350.0,24,0,0,0,0,24
10351.0,30,0,0,0,0,30
10352.0,75,0,0,0,0,75
10353.0,173,0,0,0,0,173
10355.0,153,0,0,0,0,153
10358.0,116,0,0,0,0,116
10359.0,93,0,0,0,0,93
10368.0,81,0,0,0,0,81
10369.0,0,0,0,0,0,0
10370.0,0,0,0,0,0,0
10372.0,123,0,0,0,0,123
10373.0,190,0,0,0,0,190
10375.0,142,0,0,0,0,142
10376.0,160,0,0,0,0,160
10377.0,0,0,0,0,0,0
10378.0,164,0,0,0,0,164
10380.0,543,0,0,0,0,543
10384.0,75,0,0,0,0,75
10385.0,153,0,0,0,0,153
10386.0,100,0,0,0,0,100
10388.0,698,172,0,172,0,870
10390.0,349,0,0,0,0,349
10392.0,168,0,0,0,0,168
10394.0,103,1,0,0,1,104
10395.0,0,0,0,0,0,0
10398.0,449,50,0,0,50,499
10399.0,15,0,0,0,0,15
10400.0,79,0,0,0,0,79
10401.0,197,0,0,0,0,197
10402.0,20,0,0,0,0,20
10403.0,84,0,0,0,0,84
10405.0,87,0,0,0,0,87
10411.0,49,0,0,0,0,49
10413.0,152,0,0,0,0,152
10414.0,133,0,0,0,0,133
